Product_Category,"< $10","$10 - $30","$30 - $50","$50 - $80","$80 - $100",">= $100"
"Body Spray",0.0,0.1,0.0,0.0,0.0,0.0
Cologne,0.0,2.4,1.3,0.2,0.0,0.0
"Eau de Parfum",0.1,10.1,10.7,5.0,2.2,2.3
"Eau de Toilette",0.7,24.4,27.4,11.5,1.3,0.5
Otherproducttype,0.2,4.5,0.3,0.3,0.6,0.2
"Perfume Oil",0.3,0.0,0.0,0.0,0.0,0.0
