Fragrancy,"< $10","$10 - $30","$30 - $50","$50 - $80","$80 - $100",">= $100"
"Body Spray",0.0422,0.9482,0.0096,0.0000,0.0000,0.0000
Cologne,0.0561,0.7416,0.1854,0.0138,0.0028,0.0002
"Eau de Parfum",0.0123,0.5056,0.3362,0.0994,0.0282,0.0182
"Eau de Toilette",0.0411,0.5192,0.3376,0.0927,0.0074,0.0020
Otherproducttype,0.1244,0.7925,0.0321,0.0205,0.0267,0.0038
"Perfume Oil",0.9685,0.0295,0.0019,0.0000,0.0000,0.0000
