Product_Category,"< $10","$10 - $30","$30 - $50","$50 - $80","$80 - $100",">= $100"
Indie,0.0060,0.5742,0.2399,0.0135,0.0000,0.1664
Luxury,0.0637,0.1706,0.5729,0.1444,0.0311,0.0173
Massmarket,0.0004,0.8237,0.1519,0.0227,0.0007,0.0006
Niche,0.2173,0.0806,0.6051,0.0458,0.0128,0.0384
Othercategory,0.0722,0.6233,0.2169,0.0752,0.0102,0.0022
