Product_Category,"< $10","$10 - $30","$30 - $50","$50 - $80","$80 - $100",">= $100"
Indie,0.0,0.0,0.0,0.0,0.0,0.0
Luxury,0.5,3.7,21.0,8.1,2.6,2.3
Massmarket,0.0,13.1,4.3,0.9,0.0,0.1
Niche,0.0,0.0,0.2,0.0,0.0,0.0
Othercategory,0.8,24.7,14.3,7.9,1.6,0.6
