Product,Revenue,Revenue_MAN,Revenue_WOMAN,Items_sold,Items_sold_MAN,Items_sold_WOMAN,Number_of_fragrancies,Fragrancies_MAN,Fragrancies_WOMAN,Tital_items,Items_MAN,Items_WOMAN
"White Shoulders 45 oz Perfume for Women Eau de Cologne Spray New In Box",101916,0,101916,5662,0,5662,1,0,1,1,0,1
"Drakkar Noir by Guy Laroche 34 oz EDT Cologne for Men New In Box",99000,99000,0,5500,5500,0,1,1,0,1,1,0
"COOL WATER  Davidoff  Perfume for Women  EDT  34 oz  BRAND NEW TESTER",98720,0,98720,4936,0,4936,1,0,1,1,0,1
"Jean Paul Gaultier Le Male LE PARFUM 42 oz Eau de Parfum INTENSE Spray NO BOX",96256,96256,0,1024,1024,0,1,1,0,1,1,0
"Deep Red by Hugo Boss EDP Perfume for Women 30 oz Brand New In Box",95985,0,95985,3555,0,3555,1,0,1,1,0,1
"COACH Floral Blush by Coach perfume for women EDP 3  30 oz New in Box",95570,0,95570,2515,0,2515,1,0,1,1,0,1
"LADY MILLION Paco Rabanne for women perfume EDP 27 oz NEW TESTER",95250,0,95250,1905,0,1905,1,0,1,1,0,1
"Emporio Armani Stronger With You by Giorgio Armani 34 oz Cologne for Men NIB",94643,94643,0,1333,1333,0,1,1,0,1,1,0
"JIMMY CHOO by Jimmy Choo 33  34 oz Spray EDT for Women NEW IN BOX",93918,0,93918,2846,0,2846,1,0,1,1,0,1
"BOSS  6 UNLIMITED by HUGO BOSS Cologne EDT Men 33  34 oz NO SIX NEW IN BOX",92312,92312,0,2098,2098,0,1,1,0,1,1,0
"Parfums de Marly Layton by Parfums de Marly, 25 oz EDP Spray men",91915,91915,0,593,593,0,1,1,0,1,1,0
"Blue Jeans by Versus Gianni Versace 25 oz EDT Cologne for Men New In Box",91380,91380,0,4569,4569,0,1,1,0,1,1,0
"Burberry Brit by Burberry 33  34 oz EDT Perfume for Women New In Box",90650,0,90650,2590,0,2590,1,0,1,1,0,1
"VERSACE WOMAN by Gianni Versace Perfume for Women EDP 34 oz New in Box SEALED",89595,0,89595,2715,0,2715,1,0,1,1,0,1
"Forever Elizabeth by Elizabeth Taylor 34 oz Spray edp 33 Perfume NEW in Box",89471,0,89471,5263,0,5263,1,0,1,1,0,1
"Light Blue by Dolce  Gabbana, 67 oz EDT Spray for Women",88075,0,88075,1355,0,1355,1,0,1,1,0,1
"Polo Blue by Ralph Lauren 42 oz EDP Parfum Cologne for Men Brand New In Box",87516,87516,0,1683,1683,0,1,1,0,1,1,0
"SHI by Alfred Sung Perfume for Women EDP 33  34 oz New In Box Sealed",86160,0,86160,4308,0,4308,1,0,1,1,0,1
"GIVENCHY POUR HOMME Cologne for Men 34 oz  33 oz EDT New in Box",85386,85386,0,2247,2247,0,1,1,0,1,1,0
"Prada LHomme Intense 33 oz 100 ml Eau De Parfum Spray for Men",85315,85315,0,755,755,0,1,1,0,1,1,0
"Lolita Lempicka by Lolita Lempicka 34 oz EDP Perfume for Women New In Box",83577,0,83577,2143,0,2143,1,0,1,1,0,1
"Phantom by Paco Rabanne 34 oz EDT Cologne for Men Brand New In Box",83030,83030,0,1202,1202,0,1,1,0,1,1,0
"Azzaro The Most Wanted 33 oz100 ml PARFUM Spray for Men New in Sealed Box",81880,81880,0,920,920,0,1,1,0,1,1,0
"Alien by Thierry Mugler 3 oz EDP Perfume for Women New In Box",81005,0,81005,953,0,953,1,0,1,1,0,1
"VIVA LA JUICY NOIR by Juicy Couture Perfume Women 34 oz edp 33 New in Box",80274,0,80274,2361,0,2361,1,0,1,1,0,1
"Curve Crush by Liz Claiborne EDT Perfume for Women 33  34 oz New In Box",78848,0,78848,3584,0,3584,1,0,1,1,0,1
"JIMMY CHOO BLOSSOM 33  34 oz EDP Perfume Women NEW TESTER",77593,0,77593,2503,0,2503,1,0,1,1,0,1
"360 by Perry Ellis Perfume 67 oz for Women edt NEW IN BOX",77315,0,77315,2209,0,2209,1,0,1,1,0,1
"Ed Hardy by Christian Audigier Perfume for Women edp 34 oz Brand New In Box",77220,0,77220,3510,0,3510,1,0,1,1,0,1
"VERSACE EROS POUR FEMME 33  34 oz EDP Perfume For Women New Tester",76100,0,76100,1522,0,1522,1,0,1,1,0,1
"YACHT MAN RED by Myrurgia 33  34 oz EDT Cologne for Men New in Box",76077,76077,0,8453,8453,0,1,1,0,1,1,0
"COUTURE LA LA Juicy Couture women perfume edp 34 oz 33 NEW IN BOX",75648,0,75648,3152,0,3152,1,0,1,1,0,1
"mini cologne Versace Pour Homme for Men Brand New In Box",75280,75280,0,9410,9410,0,1,1,0,1,1,0
"Emporio Armani Stronger With You Intensely 34 oz EDP Cologne for Men New in Box",75240,75240,0,684,684,0,1,1,0,1,1,0
"Terre Dhermes by Hermes 67 oz EDT Cologne for Men New In Box",73260,73260,0,740,740,0,1,1,0,1,1,0
"GIORGIO by Giorgio Beverly Hills 3  30 oz EDT Perfume for Women New In Box",73018,0,73018,3319,0,3319,1,0,1,1,0,1
"Michael Kors Sexy Amber by Michael Kors 34 oz EDP For Women Perfume New In Box",72468,0,72468,1647,0,1647,1,0,1,1,0,1
"JIMMY CHOO FLASH by Jimmy Choo 33  34 oz EDP Perfume Women NEW IN BOX",71262,0,71262,1926,0,1926,1,0,1,1,0,1
"Fancy by Jessica Simpson 34 oz EDP Perfume for Women New In Box",70824,0,70824,2724,0,2724,1,0,1,1,0,1
"Yellow Diamond by Gianni Versace for women EDT 30 oz New Tester",70633,0,70633,1909,0,1909,1,0,1,1,0,1
"ED HARDY HEARTS  DAGGERS 34  33 oz EDP For Women NEW in BOX",70500,0,70500,3525,0,3525,1,0,1,1,0,1
"JIMMY CHOO by Jimmy Choo 33  34 oz EDP Women NEW IN BOX",69616,0,69616,1832,0,1832,1,0,1,1,0,1
"CURIOUS Britney Spears women perfume edp 33 oz 34 NEW IN BOX",69480,0,69480,3860,0,3860,1,0,1,1,0,1
"Anais Anais LOriginal by Cacharel 34 oz EDT Perfume for Women New In Box",67019,0,67019,2311,0,2311,1,0,1,1,0,1
"Halston Z 14 by Halston Cologne 42 oz EDC For Men New tester",66645,66645,0,4443,4443,0,1,1,0,1,1,0
"Boucheron by Boucheron 33 34 oz EDT Perfume for Women New In Box",66264,0,66264,2761,0,2761,1,0,1,1,0,1
"Burberry Touch by Burberry perfume for women EDP 33  34 oz New in Box",66198,0,66198,1947,0,1947,1,0,1,1,0,1
"Versace Bright Crystal Absolu by Versace perfume for her EDP 30 oz New in Box",66096,0,66096,1224,0,1224,1,0,1,1,0,1
"Curve Wave Cologne for Men by Liz Claiborne 42 oz New in Box  Can",64991,64991,0,3823,3823,0,1,1,0,1,1,0
"Not a Perfume by Juliette has a gun 33 oz EDP Perfume for Women Tester",62840,0,62840,1571,0,1571,1,0,1,1,0,1
"VIVA LA JUICY ROSE COUTURE by Juicy Couture 34 oz EDP For Women New in Box",62322,0,62322,1833,0,1833,1,0,1,1,0,1
"Creed Silver Mountain Water 33 oz EDP Cologne for Men Brand New Tester",61760,61760,0,386,386,0,1,1,0,1,1,0
"Jean Paul Gaultier Le Beau 42 oz Eau de Toilette Spray for Men New NO BOX",61446,61446,0,539,539,0,1,1,0,1,1,0
"Couture Couture by Juicy Couture perfume for women EDP 33  34 oz New in Box",61264,0,61264,2188,0,2188,1,0,1,1,0,1
"Valentino Uomo Born In Roma Coral Fantasy 34 oz EDT Cologne New In Box",61014,61014,0,666,666,0,1,1,0,1,1,0
"Viva La Juicy Rose by Juicy Couture 34 oz EDP Perfume for Women New In Box",60860,0,60860,1790,0,1790,1,0,1,1,0,1
"360 by Perry Ellis 34 oz EDT Cologne for Men New In Box",60053,60053,0,2611,2611,0,1,1,0,1,1,0
"ED HARDY Love  Luck by Christian Audigier 33  34 oz EDP For Women New in Box",59920,0,59920,2996,0,2996,1,0,1,1,0,1
